page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,tiles,raw,kept,anchors,hit,recall,clusters,clean,merged,spurious,mean_score,sec,postproc,err,overlay,tag,human_label,human_correct
13,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,81,9,1,0,0.0,9,0,0,9,0.268,7.4,grounded,,dino_lab_runs\20260920_124756\p13_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p13_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
13,single,300,defxdef,1236x800,0.08,0.1,,,,1,25,19,1,0,0.0,19,0,0,19,0.176,1.0,grounded,,dino_lab_runs\20260920_124756\p13_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p13_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
13,single,300,defxdef,1236x800,0.12,0.1,,,,1,14,12,1,0,0.0,12,0,0,12,0.221,1.0,grounded,,dino_lab_runs\20260920_124756\p13_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p13_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
14,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,115,14,1,1,1.0,14,2,0,12,0.139,3.2,grounded,,dino_lab_runs\20260920_124756\p14_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p14_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
14,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,53,8,1,1,1.0,8,1,0,7,0.17,3.2,grounded,,dino_lab_runs\20260920_124756\p14_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p14_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
14,single,300,defxdef,1236x800,0.08,0.1,,,,1,16,11,1,1,1.0,11,4,0,7,0.168,1.0,grounded,,dino_lab_runs\20260920_124756\p14_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p14_single_dpi300_box0.08_txt0.1_procDEFAULT,wrong,0.0
14,single,300,defxdef,1236x800,0.12,0.1,,,,1,6,5,1,1,1.0,5,3,0,2,0.257,1.0,grounded,,dino_lab_runs\20260920_124756\p14_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p14_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
15,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,99,12,1,0,0.0,12,0,0,12,0.185,3.4,grounded,,dino_lab_runs\20260920_124756\p15_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p15_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
15,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,62,7,1,0,0.0,7,0,0,7,0.246,3.2,grounded,,dino_lab_runs\20260920_124756\p15_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p15_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
15,single,300,defxdef,1236x800,0.08,0.1,,,,1,13,9,1,1,1.0,9,1,0,8,0.201,1.0,grounded,,dino_lab_runs\20260920_124756\p15_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p15_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
