timestamp,tag,page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,anchors,kept,hit,recall,clean,merged,spurious,label
2026-09-19T15:21:36,p23_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,23,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,33,6,1.0,2,4,27,wrong
2026-09-19T15:21:44,p22_single_dpi200_box0.12_txt0.1_procDEFAULT,22,single,200,defxdef,1120x800,0.12,0.1,,,,6,11,0,0.0,0,0,11,wrong
2026-09-19T15:23:05,p23_single_dpi200_box0.12_txt0.1_procDEFAULT,23,single,200,defxdef,1120x800,0.12,0.1,,,,6,9,0,0.0,0,0,9,correct
2026-09-19T15:23:07,p23_single_dpi200_box0.08_txt0.1_procDEFAULT,23,single,200,defxdef,1120x800,0.08,0.1,,,,6,14,2,0.333,0,1,13,correct
2026-09-19T15:23:08,p24_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,24,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,5,48,5,1.0,3,3,42,wrong
2026-09-19T15:23:10,p24_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,24,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,5,36,5,1.0,2,3,31,wrong
2026-09-19T15:23:13,p24_single_dpi200_box0.08_txt0.1_procDEFAULT,24,single,200,defxdef,1120x800,0.08,0.1,,,,5,21,0,0.0,0,0,21,wrong
2026-09-19T15:28:28,p24_single_dpi200_box0.12_txt0.1_procDEFAULT,24,single,200,defxdef,1120x800,0.12,0.1,,,,5,12,0,0.0,0,0,12,wrong
2026-09-19T15:28:29,p25_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,25,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,45,6,1.0,3,3,39,wrong
2026-09-19T15:28:31,p25_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,25,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,38,6,1.0,2,3,33,wrong
2026-09-19T15:28:43,p25_single_dpi200_box0.08_txt0.1_procDEFAULT,25,single,200,defxdef,1120x800,0.08,0.1,,,,6,24,2,0.333,0,1,23,wrong
2026-09-19T15:28:43,p25_single_dpi200_box0.12_txt0.1_procDEFAULT,25,single,200,defxdef,1120x800,0.12,0.1,,,,6,12,0,0.0,0,0,12,correct
2026-09-19T15:28:45,p26_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,26,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,42,6,1.0,3,4,35,wrong
2026-09-19T15:28:50,p26_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,26,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,32,6,1.0,1,4,27,wrong
2026-09-19T15:30:19,p26_single_dpi200_box0.08_txt0.1_procDEFAULT,26,single,200,defxdef,1120x800,0.08,0.1,,,,6,18,2,0.333,0,1,17,wrong
2026-09-19T15:30:19,p26_single_dpi200_box0.12_txt0.1_procDEFAULT,26,single,200,defxdef,1120x800,0.12,0.1,,,,6,9,0,0.0,0,0,9,correct
2026-09-19T15:30:22,p27_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,27,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,46,6,1.0,0,6,40,wrong
